ORIGIN,DESTINATION,TOTAL SEATS
Russian Federation,Netherlands,8360
Russian Federation,Slovakia,567
Russian Federation,Norway,2240
Russian Federation,Turkmenistan,2205
Russian Federation,Bahrain,984
Russian Federation,Uzbekistan,22715
Russian Federation,Israel,15390
Russian Federation,Lebanon,474
Russian Federation,Iran,1479
Russian Federation,Algeria,101
Russian Federation,Cuba,2729
Russian Federation,Kazakhstan,1152
Russian Federation,Jordan,388
Russian Federation,Montenegro,3586
Russian Federation,Slovenia,696
Russian Federation,China,45690
Russian Federation,Armenia,23098
Russian Federation,Belgium,3656
Russian Federation,Thailand,13535
Russian Federation,Germany,44829
Russian Federation,Hong Kong,3532
Russian Federation,Spain,17733
Russian Federation,Kyrgyzstan,16730
Russian Federation,Georgia,10338
Russian Federation,Maldives,1200
Russian Federation,Denmark,2528
Russian Federation,United States,11433
Russian Federation,Morocco,444
Russian Federation,Sweden,4780
Russian Federation,Vietnam,8859
Russian Federation,Croatia,700
Russian Federation,Japan,4352
Russian Federation,Switzerland,9965
Russian Federation,Bulgaria,1948
Russian Federation,Iraq,296
Russian Federation,Portugal,3432
Russian Federation,United Arab Emirates,34906
Russian Federation,Singapore,1265
Russian Federation,India,8474
Russian Federation,Azerbaijan,16217
Russian Federation,United Kingdom,13102
Russian Federation,Austria,9058
Russian Federation,Greece,13694
Russian Federation,Hungary,7510
Russian Federation,South Korea,8271
Russian Federation,Tajikistan,23215
Thailand,Turkey,6576
Thailand,Qatar,20432
Thailand,Italy,3531
Thailand,Bangladesh,7311
Thailand,Bhutan,944
Thailand,Kuwait,2552
Thailand,Nepal,3312
Thailand,France,6944
Thailand,Ethiopia,2160
Thailand,Netherlands,4026
Thailand,Laos,5034
Thailand,Maldives,3888
Thailand,Turkmenistan,543
Thailand,Bahrain,1904
Thailand,Uzbekistan,601
Thailand,Israel,2751
Thailand,Australia,24057
Thailand,Iran,576
Thailand,Singapore,81251
Thailand,Norway,2912
Thailand,Jordan,2224
